,STATION,zipcode
338,METS-WILLETS PT,11368.0
339,FLUSHING-MAI,11354.0
340,34 ST-HUDSON YD,10001.0
341,CLARK ST,11201.0
342,HOYT ST,11201.0
343,EVINS ST,11217.0
344,GRAND ARMY PLAZ,11238.0
345,EASTN PKWY-MUSM,11238.0
346,KINGSTON AV,11213.0
347,CROWN HTS-UTICA,11213.0
348,SUTTER AV-RUTLD,11212.0
349,SARATOGA AV,11212.0
350,JUNIUS ST,11212.0
351,PENNSYLVANIA AV,11207.0
352,EW LOTS AV,11212.0
353,PRESIDENT ST,11225.0
354,STERLING ST,11225.0
355,WINTHROP ST,11225.0
356,BEVERLY RD,11226.0
357,EWKIRK AV,11226.0
358,FLATBUSH AV-B.C,11217.0
359,MORRIS PARK,10462.0
360,BAYCHESTER AV,10469.0
361,EASTCHSTER/DYRE,10466.0
362,ST. GEORGE,10301.0
363,TOMPKINSVILLE,10304.0
364,RIT-MANHATTA,5603.0
365,RIT-ROOSEVELT,11372.0
