,movie_name,movie,opening,date_time,theaters,tot_gross,actors,directors
60,Escape From Planet Earth,Escape From Planet Earth,"$15,891,055",2013-02-15,"3,288","$57,012,977","['Brendan Fraser', 'Ricky Gervais', 'Jessica Alba', 'Sarah Jessica Parker']",['Cal Brunker']
61,12 Years a Slave,12 Years a Slave,"$923,715",2013-10-18,19,"$56,671,993","['Chiwetel Ejiofor', 'Michael Fassbender', 'Brad Pitt', 'Benedict Cumberbatch', 'Paul Dano', 'Sarah Paulson', 'Paul Giamatti', ""Lupita Nyong'o"", 'Michael K. Williams']",['Steve McQueen (II)']
62,Free Birds,Free Birds,"$15,805,237",2013-11-01,"3,736","$55,750,480","['Woody Harrelson', 'Owen Wilson', 'Dan Fogler']",['Jimmy Hayward']
63,Hansel and Gretel: Witch Hunters,Hansel and Gretel: Witch Hunters,"$19,690,956",2013-01-25,"3,372","$55,703,475","['Jeremy Renner', 'Gemma Arterton', 'Famke Janssen', 'Thomas Mann']",['Tommy Wirkola']
64,Evil Dead (2013),Evil Dead,"$25,775,847",2013-04-05,"3,025","$54,239,856","['Shiloh Fernandez', 'Jessica Lucas']",['Fede Alvarez']
65,Red 2,Red 2,"$18,048,422",2013-07-19,"3,016","$53,262,560","['Bruce Willis', 'John Malkovich', 'Helen Mirren', 'Anthony Hopkins', 'Catherine Zeta-Jones', 'Brian Cox*']",['Dean Parisot']
66,Tyler Perry's A Madea Christmas,Tyler Perry's A Madea Christmas,"$16,007,634",2013-12-13,"2,194","$52,543,354",,['Tyler Perry']
67,Tyler Perry's Temptation: Confessions of a Marriage Counselor,Tyler Perry's Temptation: Confessions of a Marriage Counselor,"$21,641,679",2013-03-29,"2,047","$51,975,354",[],['Tyler Perry']
68,The Call,The Call,"$17,118,745",2013-03-15,"2,507","$51,872,378","['Halle Berry', 'Abigail Breslin', 'Morris Chestnut']",['Brad Anderson']
69,Pain and Gain,Pain and Gain,"$20,244,505",2013-04-26,"3,277","$49,875,291","['Mark Wahlberg', 'Dwayne Johnson', 'Ed Harris', 'Anthony Mackie', 'Rebel Wilson']",['Michael Bay']
70,Gangster Squad,Gangster Squad,"$17,070,347",2013-01-11,"3,103","$46,000,903","['Frank Grillo', 'Sean Penn', 'Ryan Gosling', 'Josh Brolin', 'Emma Stone', 'Giovanni Ribisi', 'Anthony Mackie']",['Ruben Fleischer']
71,Jurassic Park 3D,Jurassic Park 3D,"$18,620,145",2013-04-05,"2,771","$45,385,935",,[]
72,The Internship,The Internship,"$17,325,307",2013-06-07,"3,366","$44,672,764","['Vince Vaughn', 'Owen Wilson', 'Rose Byrne', 'John Goodman', 'Josh Gad']",['Shawn Levy']
73,Instructions Not Included,Instructions Not Included,"$7,846,426",2013-08-30,348,"$44,467,206",,
74,Snitch,Snitch,"$13,167,607",2013-02-22,"2,511","$42,930,462","['Michael K. Williams', 'Dwayne Johnson', 'Susan Sarandon', 'Benjamin Bratt']",['Ric Roman Waugh']
75,Riddick,Riddick,"$19,030,375",2013-09-06,"3,107","$42,025,135","['Vin Diesel', 'Karl Urban', 'Katee Sackhoff', 'Dave Bautista']",['David Twohy']
76,A Haunted House,A Haunted House,"$18,101,682",2013-01-11,"2,160","$40,041,683","['Marlon Wayans', 'Cedric the Entertainer', 'Nick Swardson']",['Michael Tiddes']
77,47 Ronin,47 Ronin,"$9,910,310",2013-12-25,"2,689","$38,362,475",,['Carl Rinsch']
78,August: Osage County,August: Osage County,"$179,302",2013-12-27,5,"$37,738,810","['Meryl Streep', 'Julia Roberts', 'Ewan McGregor', 'Chris Cooper', 'Abigail Breslin', 'Benedict Cumberbatch']",['John Wells']
79,Philomena,Philomena,"$128,435",2013-11-22,4,"$37,709,979","['Steve Coogan', 'Judi Dench']",['Stephen Frears']
80,The Family (2013),The Family,"$14,034,764",2013-09-13,"3,091","$36,918,811","['Robert DeNiro', 'Michelle Pfeiffer', 'Tommy Lee Jones', 'Dianna Agron']",['Luc Besson']
81,Walking with Dinosaurs,Walking with Dinosaurs,"$7,091,938",2013-12-20,"3,231","$36,076,121","['Justin Long', 'John Leguizamo', 'Karl Urban']","['Barry Cook', 'Neil Nightingale']"
82,Carrie (2013),Carrie,"$16,101,552",2013-10-18,"3,157","$35,266,619","['Chloe Moretz', 'Portia Doubleday', 'Ansel Elgort', 'Julianne Moore']",['Kimberly Peirce']
83,Texas Chainsaw 3D,Texas Chainsaw 3D,"$21,744,470",2013-01-04,"2,654","$34,341,945",[],['John Luessenhop']
84,R.I.P.D.,R.I.P.D.,"$12,691,415",2013-07-19,"2,852","$33,618,855","['Jeff Bridges', 'Ryan Reynolds', 'Kevin Bacon']",['Robert Schwentke']
85,Blue Jasmine,Blue Jasmine,"$612,064",2013-07-26,6,"$33,405,481","['Cate Blanchett', 'Sally Hawkins', 'Alec Baldwin', 'Peter Sarsgaard']",['Woody Allen']
