,actors,director,imdb,metacritic,movie,rated,rotten_tomatoes,runtime,year
348,"Michael Fassbender, Marion Cotillard, Jeremy Irons, Brendan Gleeson",Justin Kurzel,5.8/10,36/100,Assassin's Creed,PG-13,18%,115 min,2016
349,"Ice Cube, Cedric the Entertainer, Regina Hall, Sean Patrick Thomas",Malcolm D. Lee,5.9/10,67/100,Barbershop: The Next Cut,PG-13,90%,111 min,2016
350,"Sunny Pawar, Abhishek Bharate, Priyanka Bose, Khushi Solanki",Garth Davis,8.1/10,69/100,Lion,PG-13,86%,118 min,2016
351,"Chris Hemsworth, Charlize Theron, Jessica Chastain, Emily Blunt",Cedric Nicolas-Troyan,6.1/10,35/100,The Huntsman: Winter's War,PG-13,17%,114 min,2016
352,"Art Parkinson, Charlize Theron, Ralph Fiennes, Brenda Vaccaro",Travis Knight,7.8/10,84/100,Kubo and the Two Strings,PG,97%,101 min,2016
353,"Casey Affleck, Ben O'Brien, Kyle Chandler, Richard Donelly",Kenneth Lonergan,7.8/10,96/100,Manchester by the Sea,R,95%,137 min,2016
354,"Travis Fimmel, Paula Patton, Ben Foster, Dominic Cooper",Duncan Jones,6.9/10,32/100,Warcraft,PG-13,27%,123 min,2016
355,"Dakota Johnson, Rebel Wilson, Leslie Mann, Damon Wayans Jr.",Christian Ditter,6.1/10,51/100,How to Be Single,R,47%,110 min,2016
356,"Zac Efron, Adam Devine, Anna Kendrick, Aubrey Plaza",Jake Szymanski,6.0/10,51/100,Mike and Dave Need Wedding Dates,R,35%,98 min,2016
357,"Miles Teller, Steve Lantz, Gregg Weiner, David Packouz",Todd Phillips,7.1/10,57/100,War Dogs,R,59%,114 min,2016
358,"Danny Glover, Gabrielle Union, Mo'Nique, Kimberly Elise",David E. Talbert,6.0/10,55/100,Almost Christmas,PG-13,51%,111 min,2016
359,"George Clooney, Julia Roberts, Jack O'Connell, Dominic West",Jodie Foster,6.5/10,55/100,Money Monster,R,57%,98 min,2016
360,"Brad Pitt, Vincent Ebrahim, Xavier de Guillebon, Marion Cotillard",Robert Zemeckis,7.1/10,60/100,Allied,R,59%,124 min,2016
361,"Emma Roberts, Dave Franco, Emily Meade, Miles Heizer","Henry Joost, Ariel Schulman",6.6/10,58/100,Nerve,PG-13,67%,96 min,2016
362,"Joseph Fiennes, Tom Felton, Peter Firth, Cliff Curtis",Kevin Reynolds,6.3/10,51/100,Risen,PG-13,52%,107 min,2016
363,"Russell Crowe, Ryan Gosling, Angourie Rice, Matt Bomer",Shane Black,7.4/10,70/100,The Nice Guys,R,92%,116 min,2016
364,"Lauren Cohan, Rupert Evans, James Russell, Jim Norton",William Brent Bell,6.0/10,42/100,The Boy,PG-13,28%,97 min,2016
365,"Robert De Niro, Zac Efron, Zoey Deutch, Aubrey Plaza",Dan Mazer,5.9/10,21/100,Dirty Grandpa,R,11%,102 min,2016
366,"Annalise Basso, Elizabeth Reaser, Lulu Wilson, Henry Thomas",Mike Flanagan,6.1/10,65/100,Ouija: Origin of Evil,PG-13,82%,99 min,2016
367,"Chloë Grace Moretz, Matthew Zuk, Gabriela Lopez, Bailey Anne Borders",J Blakeson,5.2/10,33/100,The 5th Wave,PG-13,15%,112 min,2016
368,"Tom Hanks, Felicity Jones, Omar Sy, Irrfan Khan",Ron Howard,6.2/10,42/100,Inferno,PG-13,22%,121 min,2016
369,"Jennifer Aniston, Timothy Olyphant, Shay Mitchell, Caleb Brown",Garry Marshall,5.6/10,18/100,Mother's Day,PG-13,6%,118 min,2016
370,"Mark Wahlberg, Dicky Eklund Jr., Michael Marchand, Rhet Kidd",Peter Berg,7.4/10,69/100,Patriots Day,R,81%,133 min,2016
371,"Brenton Thwaites, John Samaha, Courtney Eaton, Nikolaj Coster-Waldau",Alex Proyas,5.4/10,25/100,Gods of Egypt,PG-13,15%,127 min,2016
372,"Will Smith, Edward Norton, Kate Winslet, Michael Peña",David Frankel,6.8/10,23/100,Collateral Beauty,PG-13,14%,97 min,2016
373,"Josh Brolin, George Clooney, Alden Ehrenreich, Ralph Fiennes","Ethan Coen, Joel Coen",6.3/10,72/100,"Hail, Caesar!",PG-13,85%,106 min,2016
374,"Morris Chestnut, Regina Hall, Romany Malco, Michael Kenneth Williams",Jon Cassar,4.9/10,28/100,When the Bough Breaks,PG-13,11%,107 min,2016
375,"Justin Bieber, Jon Daly, Penélope Cruz, Ben Stiller",Ben Stiller,4.7/10,34/100,Zoolander 2,PG-13,23%,101 min,2016
376,"Mahershala Ali, Shariff Earp, Duan Sanderson, Alex R. Hibbert",Barry Jenkins,7.4/10,99/100,Moonlight,R,98%,111 min,2016
377,"Chris Pine, Casey Affleck, Ben Foster, Eric Bana",Craig Gillespie,6.7/10,58/100,The Finest Hours,PG-13,64%,117 min,2016
378,"Meryl Streep, Hugh Grant, Simon Helberg, Rebecca Ferguson",Stephen Frears,6.9/10,71/100,Florence Foster Jenkins,PG-13,87%,111 min,2016
379,"Dale Dickey, Ben Foster, Chris Pine, William Sterchi",David Mackenzie,7.6/10,88/100,Hell or High Water,R,97%,102 min,2016
380,"Natalie Dormer, Eoin Macken, Stephanie Vogt, Osamu Tanpopo",Jason Zada,4.8/10,34/100,The Forest,PG-13,10%,93 min,2016
381,"Charlton Heston, Jack Hawkins, Haya Harareet, Stephen Boyd",William Wyler,8.1/10,90/100,Ben-Hur,G,86%,212 min,1959
382,"Anya Taylor-Joy, Ralph Ineson, Kate Dickie, Harvey Scrimshaw",Robert Eggers,6.8/10,83/100,The Witch,R,91%,92 min,2015
383,"Renée Zellweger, Gemma Jones, Jim Broadbent, Sally Phillips",Sharon Maguire,6.6/10,59/100,Bridget Jones's Baby,R,77%,118 min,2016
384,"Kevin Hart, Halle Berry, Don Cheadle, Ed Helms","Leslie Small, Tim Story",5.8/10,60/100,Kevin Hart: What Now?,R,78%,96 min,2016
385,"Mark Hamill, Carrie Fisher, Adam Driver, Daisy Ridley",Rian Johnson,7.4/10,85/100,Star Wars: The Last Jedi,PG-13,91%,152 min,2017
386,"Robby Benson, Jesse Corti, Rex Everhart, Angela Lansbury","Gary Trousdale, Kirk Wise",8.0/10,95/100,Beauty and the Beast,G,94%,84 min,1991
387,"Gal Gadot, Chris Pine, Connie Nielsen, Robin Wright",Patty Jenkins,7.5/10,76/100,Wonder Woman,PG-13,92%,141 min,2017
388,"Dwayne Johnson, Kevin Hart, Jack Black, Karen Gillan",Jake Kasdan,7.0/10,58/100,Jumanji: Welcome to the Jungle,PG-13,76%,119 min,2017
389,"Chris Pratt, Zoe Saldana, Dave Bautista, Vin Diesel",James Gunn,7.7/10,67/100,Guardians of the Galaxy Vol. 2,PG-13,83%,136 min,2017
390,"Tom Holland, Michael Keaton, Robert Downey Jr., Marisa Tomei",Jon Watts,7.5/10,73/100,Spider-Man: Homecoming,PG-13,92%,133 min,2017
391,"Jaeden Lieberher, Jeremy Ray Taylor, Sophia Lillis, Finn Wolfhard",Andy Muschietti,7.5/10,69/100,It,R,85%,135 min,2017
392,"Chris Hemsworth, Tom Hiddleston, Cate Blanchett, Idris Elba",Taika Waititi,7.9/10,74/100,Thor: Ragnarok,PG-13,92%,130 min,2017
393,"Steve Carell, Kristen Wiig, Trey Parker, Miranda Cosgrove","Kyle Balda, Pierre Coffin, Eric Guillon(co-director)",6.3/10,49/100,Despicable Me 3,PG,59%,89 min,2017
394,"Ben Affleck, Henry Cavill, Amy Adams, Gal Gadot",Zack Snyder,6.8/10,45/100,Justice League,PG-13,40%,120 min,2017
395,"Hugh Jackman, Patrick Stewart, Dafne Keen, Boyd Holbrook",James Mangold,8.1/10,77/100,Logan,R,93%,137 min,2017
396,"Vin Diesel, Jason Statham, Dwayne Johnson, Michelle Rodriguez",F. Gary Gray,6.7/10,56/100,The Fate of the Furious,PG-13,66%,136 min,2017
397,"Anthony Gonzalez, Gael García Bernal, Benjamin Bratt, Alanna Ubach","Lee Unkrich, Adrian Molina(co-director)",8.5/10,81/100,Coco,PG,97%,105 min,2017
398,"Fionn Whitehead, Damien Bonnard, Aneurin Barnard, Lee Armstrong",Christopher Nolan,8.0/10,94/100,Dunkirk,PG-13,92%,106 min,2017
399,"Daniel Kaluuya, Allison Williams, Catherine Keener, Bradley Whitford",Jordan Peele,7.7/10,84/100,Get Out,R,99%,104 min,2017
400,"Will Arnett, Michael Cera, Rosario Dawson, Ralph Fiennes",Chris McKay,7.3/10,75/100,The LEGO Batman Movie,PG,90%,104 min,2017
401,"Alec Baldwin, Steve Buscemi, Jimmy Kimmel, Lisa Kudrow",Tom McGrath,6.3/10,50/100,The Boss Baby,PG,52%,97 min,2017
402,"Hugh Jackman, Michelle Williams, Zac Efron, Zendaya",Michael Gracey,7.8/10,48/100,The Greatest Showman,PG,55%,105 min,2017
403,"Johnny Depp, Javier Bardem, Geoffrey Rush, Brenton Thwaites","Joachim Rønning, Espen Sandberg",6.6/10,39/100,Pirates of the Caribbean: Dead Men Tell No Tales,PG-13,30%,129 min,2017
404,"Tom Hiddleston, Samuel L. Jackson, Brie Larson, John C. Reilly",Jordan Vogt-Roberts,6.7/10,62/100,Kong: Skull Island,PG-13,76%,118 min,2017
405,"Owen Wilson, Cristela Alonzo, Chris Cooper, Nathan Fillion",Brian Fee,6.8/10,59/100,Cars 3,G,68%,102 min,2017
406,"Andy Serkis, Woody Harrelson, Steve Zahn, Karin Konoval",Matt Reeves,7.5/10,82/100,War for the Planet of the Apes,PG-13,93%,140 min,2017
407,"James McAvoy, Anya Taylor-Joy, Betty Buckley, Haley Lu Richardson",M. Night Shyamalan,7.3/10,62/100,Split,PG-13,76%,117 min,2016
408,"Jacob Tremblay, Owen Wilson, Izabela Vidovic, Julia Roberts",Stephen Chbosky,8.0/10,66/100,Wonder,PG,85%,113 min,2017
409,"Mark Wahlberg, Anthony Hopkins, Josh Duhamel, Laura Haddock",Michael Bay,5.2/10,27/100,Transformers: The Last Knight,PG-13,16%,154 min,2017
410,"Regina Hall, Queen Latifah, Jada Pinkett Smith, Tiffany Haddish",Malcolm D. Lee,6.3/10,71/100,Girls Trip,R,90%,122 min,2017
411,"Dakota Johnson, Jamie Dornan, Eric Johnson, Eloise Mumford",James Foley,4.6/10,33/100,Fifty Shades Darker,R,10%,118 min,2017
412,"Ansel Elgort, Jon Bernthal, Jon Hamm, Eiza González",Edgar Wright,7.7/10,86/100,Baby Driver,R,93%,112 min,2017
413,"Anna Kendrick, Rebel Wilson, Brittany Snow, Anna Camp",Trish Sie,6.0/10,40/100,Pitch Perfect 3,PG-13,31%,93 min,2017
414,"Will Ferrell, Mark Wahlberg, Mel Gibson, John Lithgow",Sean Anders,6.0/10,30/100,Daddy's Home 2,PG-13,19%,100 min,2017
415,"Paapa Essiedu, Yassine Zeroual, Asan N'Jie, Michael Rouse",Kenneth Branagh,6.6/10,52/100,Murder on the Orient Express,PG-13,57%,114 min,2017
416,"Anthony LaPaglia, Samara Lee, Miranda Otto, Brad Greenquist",David F. Sandberg,6.6/10,62/100,Annabelle: Creation,R,70%,109 min,2017
417,"Taron Egerton, Edward Holcroft, Gordon Alexander, Mark Strong",Matthew Vaughn,6.9/10,44/100,Kingsman: The Golden Circle,R,52%,141 min,2017
418,"Ryan Gosling, Dave Bautista, Robin Wright, Mark Arnold",Denis Villeneuve,8.1/10,81/100,Blade Runner 2049,R,87%,164 min,2017
419,"T.J. Miller, James Corden, Anna Faris, Maya Rudolph",Tony Leondis,3.1/10,12/100,The Emoji Movie,PG,9%,86 min,2017
420,"Dacre Montgomery, Naomi Scott, RJ Cyler, Ludi Lin",Dean Israelite,6.0/10,44/100,Power Rangers,PG-13,44%,124 min,2017
421,"Jack Gore, Jet Jurgensmeyer, Nile Diaz, Colin H. Murphy",Carlos Saldanha,6.7/10,58/100,Ferdinand,PG,71%,108 min,2017
422,"Meryl Streep, Tom Hanks, Sarah Paulson, Bob Odenkirk",Steven Spielberg,7.3/10,83/100,The Post,PG-13,88%,116 min,2017
423,"Brendan Fraser, Rachel Weisz, John Hannah, Arnold Vosloo",Stephen Sommers,7.0/10,48/100,The Mummy,PG-13,57%,124 min,1999
424,"Elodie Yung, Ryan Reynolds, Tsuwayuki Saotome, Roy Hill",Patrick Hughes,6.9/10,47/100,The Hitman's Bodyguard,R,40%,118 min,2017
425,"Michael Fassbender, Katherine Waterston, Billy Crudup, Danny McBride",Ridley Scott,6.5/10,65/100,Alien: Covenant,R,67%,122 min,2017
426,"Kevin Hart, Ed Helms, Nick Kroll, Thomas Middleditch",David Soren,6.2/10,69/100,Captain Underpants: The First Epic Movie,PG,86%,89 min,2017
427,"Mila Kunis, Kristen Bell, Kathryn Hahn, Christine Baranski","Jon Lucas, Scott Moore",5.5/10,42/100,A Bad Moms Christmas,R,29%,104 min,2017
428,"Josh Gad, Dennis Quaid, Peggy Lipton, Bryce Gheisar",Lasse Hallström,6.9/10,43/100,A Dog's Purpose,PG,33%,100 min,2017
429,"Sally Hawkins, Michael Shannon, Richard Jenkins, Octavia Spencer",Guillermo del Toro,7.6/10,87/100,The Shape of Water,R,92%,123 min,2017
430,"Jackie Chan, Dave Franco, Fred Armisen, Kumail Nanjiani","Charlie Bean, Paul Fisher, Bob Logan",6.0/10,55/100,The LEGO Ninjago Movie,PG,54%,101 min,2017
431,"Dwayne Johnson, Zac Efron, Priyanka Chopra, Alexandra Daddario",Seth Gordon,5.6/10,37/100,Baywatch,R,18%,116 min,2017
432,"Sam Worthington, Octavia Spencer, Tim McGraw, Radha Mitchell",Stuart Hazeldine,6.3/10,32/100,The Shack,PG-13,19%,132 min,2017
433,"Gary Oldman, Kristin Scott Thomas, Ben Mendelsohn, Lily James",Joe Wright,7.4/10,75/100,Darkest Hour,PG-13,85%,125 min,2017
434,"Jessica Rothe, Israel Broussard, Ruby Modine, Charles Aitken",Christopher Landon,6.5/10,57/100,Happy Death Day,PG-13,71%,96 min,2017
435,"Frances McDormand, Caleb Landry Jones, Kerry Condon, Sam Rockwell",Martin McDonagh,8.2/10,88/100,"Three Billboards Outside Ebbing, Missouri",R,92%,115 min,2017
436,"Charlize Theron, James McAvoy, Eddie Marsan, John Goodman",David Leitch,6.7/10,63/100,Atomic Blonde,R,77%,115 min,2017
437,"Tom Cruise, Domhnall Gleeson, Sarah Wright, Jesse Plemons",Doug Liman,7.2/10,65/100,American Made,R,86%,115 min,2017
438,"Matthew McConaughey, Idris Elba, Tom Taylor, Dennis Haysbert",Nikolaj Arcel,5.7/10,34/100,The Dark Tower,PG-13,16%,95 min,2017
439,"Saoirse Ronan, Laurie Metcalf, Tracy Letts, Lucas Hedges",Greta Gerwig,7.5/10,94/100,Lady Bird,R,99%,94 min,2017
440,"Amy Schumer, Kim Caramele, Raven Goodwin, Katie Dippold",Jonathan Levine,4.4/10,45/100,Snatched,R,36%,90 min,2017
441,"Matt Damon, Tian Jing, Willem Dafoe, Andy Lau",Yimou Zhang,6.0/10,42/100,The Great Wall,PG-13,35%,103 min,2016
442,"Demi Lovato, Rainn Wilson, Joe Manganiello, Jack McBrayer",Kelly Asbury,5.9/10,40/100,Smurfs: The Lost Village,PG,38%,90 min,2017
443,"Michael Caine, Richie Moriarty, Josh Pais, John Ortiz",Zach Braff,6.6/10,50/100,Going in Style,PG-13,90%,96 min,2017
444,"Demetrius Shipp Jr., Danai Gurira, Kat Graham, Hill Harper",Benny Boom,5.8/10,38/100,All Eyez on Me,R,17%,139 min,2017
445,"Kumail Nanjiani, Zoe Kazan, Holly Hunter, Ray Romano",Michael Showalter,7.6/10,86/100,The Big Sick,R,98%,120 min,2017
446,"Dane DeHaan, Cara Delevingne, Clive Owen, Rihanna",Luc Besson,6.5/10,51/100,Valerian and the City of a Thousand Planets,PG-13,49%,137 min,2017
447,"Steven Yeun, Keegan-Michael Key, Aidy Bryant, Gina Rodriguez",Timothy Reckart,5.8/10,42/100,The Star,PG,45%,86 min,2017
448,"Scarlett Johansson, Pilou Asbæk, Takeshi Kitano, Juliette Binoche",Rupert Sanders,6.4/10,52/100,Ghost in the Shell,PG-13,44%,107 min,2017
449,"Charlie Hunnam, Astrid Bergès-Frisbey, Jude Law, Djimon Hounsou",Guy Ritchie,6.8/10,41/100,King Arthur: Legend of the Sword,PG-13,30%,126 min,2017
450,"Matt Passmore, Tobin Bell, Callum Keith Rennie, Hannah Emily Anderson","Michael Spierig, Peter Spierig",5.8/10,39/100,Jigsaw,R,34%,92 min,2017
451,"Dylan O'Brien, Charlotte Vega, Christopher Bomford, Chris Webster",Michael Cuesta,6.2/10,45/100,American Assassin,R,34%,112 min,2017
452,"Katie Leung, Jackie Chan, Rufus Jones, Mark Tandy",Martin Campbell,7.0/10,55/100,The Foreigner,R,62%,113 min,2017
453,"Amandla Stenberg, Nick Robinson, Anika Noni Rose, Ana de la Reguera",Stella Meghie,6.4/10,52/100,"Everything, Everything",PG-13,46%,96 min,2017
454,"Kelsey Asbille, Jeremy Renner, Julia Jones, Teo Briones",Taylor Sheridan,7.8/10,73/100,Wind River,R,87%,107 min,2017
455,"Gerard Butler, Jim Sturgess, Abbie Cornish, Alexandra Maria Lara",Dean Devlin,5.4/10,21/100,Geostorm,PG-13,13%,109 min,2017
456,"Lucas Till, Jane Levy, Thomas Lennon, Barry Pepper",Chris Wedge,5.7/10,41/100,Monster Trucks,PG,30%,104 min,2016
457,"Charlie Day, Ice Cube, Tracy Morgan, Jillian Bell",Richie Keen,5.6/10,37/100,Fist Fight,R,26%,91 min,2017
458,"Eugenio Derbez, Salma Hayek, Raphael Alejandro, Rob Lowe",Ken Marino,5.9/10,54/100,How to be a Latin Lover,PG-13,38%,115 min,2017
459,"Halle Berry, Sage Correa, Chris McGinn, Lew Temple",Luis Prieto,5.9/10,44/100,Kidnap,R,37%,95 min,2017
460,"Kate Beckinsale, Theo James, Tobias Menzies, Lara Pulver",Anna Foerster,5.8/10,23/100,Underworld: Blood Wars,R,20%,91 min,2016
461,"Idris Elba, Kate Winslet, Beau Bridges, Dermot Mulroney",Hany Abu-Assad,6.4/10,48/100,The Mountain Between Us,PG-13,40%,112 min,2017
462,"Hiroyuki Sanada, Ryan Reynolds, Rebecca Ferguson, Jake Gyllenhaal",Daniel Espinosa,6.6/10,54/100,Life,R,67%,104 min,2017
463,"Margot Robbie, Sebastian Stan, Allison Janney, Julianne Nicholson",Craig Gillespie,7.6/10,77/100,"I, Tonya",R,90%,120 min,2017
464,"Scott Shepherd, Rosamund Pike, Ava Cooper, Stella Cooper",Scott Cooper,7.3/10,65/100,Hostiles,R,73%,134 min,2017
465,"Jessica Chastain, Idris Elba, Kevin Costner, Michael Cera",Aaron Sorkin,7.5/10,71/100,Molly's Game,R,82%,140 min,2017
466,"Will Arnett, Maya Rudolph, Bobby Cannavale, Bobby Moynihan",Cal Brunker,5.3/10,36/100,The Nut Job 2: Nutty by Nature,PG,13%,91 min,2017
467,"Matilda Anna Ingrid Lutz, Alex Roe, Johnny Galecki, Vincent D'Onofrio",F. Javier Gutiérrez,4.5/10,25/100,Rings,PG-13,7%,102 min,2017
468,"Farrah Mackenzie, Channing Tatum, Jim O'Heir, Riley Keough",Steven Soderbergh,7.1/10,78/100,Logan Lucky,PG-13,93%,118 min,2017
469,"Reese Witherspoon, Michael Sheen, Candice Bergen, Pico Alexander",Hallie Meyers-Shyer,5.7/10,41/100,Home Again,PG-13,32%,97 min,2017
470,"Milla Jovovich, Iain Glen, Ali Larter, Shawn Roberts",Paul W.S. Anderson,5.6/10,49/100,Resident Evil: The Final Chapter,R,36%,107 min,2016
471,"Will Ferrell, Amy Poehler, Jason Mantzoukas, Ryan Simpkins",Andrew Jay Cohen,5.6/10,30/100,The House,R,18%,88 min,2017
472,"Michelle Williams, Christopher Plummer, Mark Wahlberg, Romain Duris",Ridley Scott,7.0/10,72/100,All the Money in the World,R,78%,132 min,2017
473,"Chris Evans, Mckenna Grace, Lindsay Duncan, Octavia Spencer",Marc Webb,7.6/10,60/100,Gifted,PG-13,73%,101 min,2017
474,"Matt Damon, Christoph Waltz, Hong Chau, Kristen Wiig",Alexander Payne,5.7/10,63/100,Downsizing,R,51%,135 min,2017
475,"Douglas Smith, Lucien Laviscount, Cressida Bonas, Doug Jones",Stacy Title,4.3/10,37/100,The Bye Bye Man,PG-13,23%,97 min,2017
476,"Scarlett Johansson, Jillian Bell, Zoë Kravitz, Ilana Glazer",Lucia Aniello,5.2/10,51/100,Rough Night,R,45%,101 min,2017
477,"Uzo Aduba, Ashleigh Ball, Adam Bengis, Emily Blunt",Jayson Thiessen,6.2/10,39/100,My Little Pony: The Movie,PG,47%,99 min,2017
478,"Elle Fanning, Dane DeHaan, Carly Rae Jepsen, Maddie Ziegler","Eric Summer, Éric Warin, Mimi Maynard, Paulette Victor-Lifton",6.8/10,48/100,Leap!,PG,37%,89 min,2016
479,"Dave Franco, James Franco, Seth Rogen, Ari Graynor",James Franco,7.6/10,76/100,The Disaster Artist,R,91%,104 min,2017
