,actors,director,imdb,metacritic,movie,rated,rotten_tomatoes,runtime,year
88,"Rachel Roberts, Shyaam Karra, Brent Wendell Williams, Jhil McEntyre",Andrew Niccol,5.9/10,35/100,The Host,PG-13,9%,125 min,2013
89,"Thomas Law, Zachary Bailess, Jasper Levine, James Tarpey",Edgar Wright,7.0/10,81/100,The World's End,R,89%,109 min,2013
90,"Joaquin Phoenix, Lynn Adrianna, Lisa Renee Pitts, Gabe Gomez",Spike Jonze,8.0/10,90/100,Her,R,94%,126 min,2013
91,"Bradley Cooper, Kyle Gallner, Cole Konis, Ben Reed",Clint Eastwood,7.3/10,72/100,American Sniper,R,72%,133 min,2014
92,"Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Woody Harrelson",Francis Lawrence,6.7/10,64/100,The Hunger Games: Mockingjay - Part 1,PG-13,66%,123 min,2014
93,"Chris Pratt, Zoe Saldana, Dave Bautista, Vin Diesel",James Gunn,8.1/10,76/100,Guardians of the Galaxy,PG-13,91%,121 min,2014
94,"Chris Evans, Samuel L. Jackson, Scarlett Johansson, Robert Redford","Anthony Russo, Joe Russo",7.8/10,70/100,Captain America: The Winter Soldier,PG-13,89%,136 min,2014
95,"Will Arnett, Elizabeth Banks, Craig Berry, Alison Brie","Phil Lord, Christopher Miller",7.8/10,83/100,The LEGO Movie,PG,96%,100 min,2014
96,"Ian McKellen, Martin Freeman, Richard Armitage, Ken Stott",Peter Jackson,7.4/10,59/100,The Hobbit: The Battle of the Five Armies,PG-13,59%,144 min,2014
97,"Mark Wahlberg, Stanley Tucci, Kelsey Grammer, Nicola Peltz",Michael Bay,5.7/10,32/100,Transformers: Age of Extinction,PG-13,18%,165 min,2014
98,"Angelina Jolie, Elle Fanning, Sharlto Copley, Lesley Manville",Robert Stromberg,7.0/10,56/100,Maleficent,PG,51%,97 min,2014
99,"Hugh Jackman, James McAvoy, Michael Fassbender, Jennifer Lawrence",Bryan Singer,8.0/10,74/100,X-Men: Days of Future Past,PG-13,90%,132 min,2014
100,"Scott Adsit, Ryan Potter, Daniel Henney, T.J. Miller","Don Hall, Chris Williams",7.8/10,74/100,Big Hero 6,PG,89%,102 min,2014
101,"Andy Serkis, Jason Clarke, Gary Oldman, Keri Russell",Matt Reeves,7.6/10,79/100,Dawn of the Planet of the Apes,PG-13,90%,130 min,2014
102,"Andrew Garfield, Emma Stone, Jamie Foxx, Dane DeHaan",Marc Webb,6.7/10,53/100,The Amazing Spider-Man 2,PG-13,52%,142 min,2014
103,"Aaron Taylor-Johnson, CJ Adams, Ken Watanabe, Bryan Cranston",Gareth Edwards,6.4/10,62/100,Godzilla,PG-13,74%,123 min,2014
104,"Jonah Hill, Channing Tatum, Peter Stormare, Wyatt Russell","Phil Lord, Christopher Miller",7.0/10,71/100,22 Jump Street,R,85%,112 min,2014
105,"Megan Fox, Will Arnett, William Fichtner, Alan Ritchson",Jonathan Liebesman,5.8/10,31/100,Teenage Mutant Ninja Turtles,PG-13,22%,101 min,2014
106,"Ellen Burstyn, Matthew McConaughey, Mackenzie Foy, John Lithgow",Christopher Nolan,8.6/10,74/100,Interstellar,PG-13,71%,169 min,2014
107,"Jay Baruchel, Cate Blanchett, Gerard Butler, Craig Ferguson",Dean DeBlois,7.8/10,76/100,How to Train Your Dragon 2,PG,91%,102 min,2014
108,"Ben Affleck, Rosamund Pike, Neil Patrick Harris, Tyler Perry",David Fincher,8.1/10,79/100,Gone Girl,R,87%,149 min,2014
109,"Shailene Woodley, Theo James, Ashley Judd, Jai Courtney",Neil Burger,6.7/10,48/100,Divergent,PG-13,41%,139 min,2014
110,"Seth Rogen, Rose Byrne, Elise Vargas, Zoey Vargas",Nicholas Stoller,6.3/10,68/100,Neighbors,R,73%,97 min,2014
111,"Ice Cube, Kevin Hart, John Leguizamo, Bruce McGill",Tim Story,6.2/10,41/100,Ride Along,PG-13,19%,99 min,2014
112,"Jake T. Austin, Carlinhos Brown, Kristin Chenoweth, Jemaine Clement",Carlos Saldanha,6.3/10,49/100,Rio 2,G,46%,101 min,2014
113,"Anna Kendrick, Daniel Huttlestone, James Corden, Emily Blunt",Rob Marshall,6.0/10,69/100,Into the Woods,PG,70%,125 min,2014
114,"Scarlett Johansson, Morgan Freeman, Min-sik Choi, Amr Waked",Luc Besson,6.4/10,61/100,Lucy,R,67%,89 min,2014
115,"Shailene Woodley, Ansel Elgort, Nat Wolff, Laura Dern",Josh Boone,7.8/10,69/100,The Fault in our Stars,PG-13,80%,126 min,2014
116,"Jack O'Connell, Domhnall Gleeson, Garrett Hedlund, Miyavi",Angelina Jolie,7.2/10,59/100,Unbroken,PG-13,51%,137 min,2014
117,"Ben Stiller, Robin Williams, Owen Wilson, Steve Coogan",Shawn Levy,6.2/10,47/100,Night at the Museum: Secret of the Tomb,PG,49%,98 min,2014
118,"Ty Burrell, Max Charles, Lauri Fraser, Guillaume Aretos",Rob Minkoff,6.8/10,59/100,Mr. Peabody & Sherman,PG,80%,92 min,2014
119,"Sullivan Stapleton, Eva Green, Lena Headey, Hans Matheson",Noam Murro,6.2/10,48/100,300: Rise of An Empire,R,43%,102 min,2014
120,"Dylan O'Brien, Aml Ameen, Ki Hong Lee, Blake Cooper",Wes Ball,6.8/10,57/100,The Maze Runner,PG-13,65%,113 min,2014
121,"Denzel Washington, Marton Csokas, Chloë Grace Moretz, David Harbour",Antoine Fuqua,7.2/10,57/100,The Equalizer,R,60%,132 min,2014
122,"Russell Crowe, Jennifer Connelly, Ray Winstone, Anthony Hopkins",Darren Aronofsky,5.8/10,68/100,Noah,PG-13,76%,138 min,2014
123,"Tom Cruise, Emily Blunt, Brendan Gleeson, Bill Paxton",Doug Liman,7.9/10,71/100,Edge of Tomorrow,PG-13,90%,113 min,2014
124,"Liam Neeson, Julianne Moore, Scoot McNairy, Michelle Dockery",Jaume Collet-Serra,7.0/10,56/100,Non-Stop,PG-13,59%,106 min,2014
125,"Greg Kinnear, Kelly Reilly, Thomas Haden Church, Connor Corum",Randall Wallace,5.8/10,47/100,Heaven is for Real,PG,49%,99 min,2014
126,"Benedict Cumberbatch, Keira Knightley, Matthew Goode, Rory Kinnear",Morten Tyldum,8.0/10,73/100,The Imitation Game,PG-13,91%,114 min,2014
127,"Jim Carrey, Jeff Daniels, Rob Riggle, Laurie Holden","Bobby Farrelly, Peter Farrelly",5.6/10,36/100,Dumb and Dumber To,PG-13,29%,109 min,2014
128,"Albert Finney, Carol Burnett, Ann Reinking, Tim Curry",John Huston,6.5/10,39/100,Annie,PG,52%,127 min,1982
129,"Brad Pitt, Shia LaBeouf, Logan Lerman, Michael Peña",David Ayer,7.6/10,64/100,Fury,R,76%,134 min,2014
130,"Melissa McCarthy, Susan Sarandon, Kathy Bates, Allison Janney",Ben Falcone,4.9/10,39/100,Tammy,R,24%,97 min,2014
131,"Annabelle Wallis, Ward Horton, Tony Amendola, Alfre Woodard",John R. Leonetti,5.4/10,37/100,Annabelle,R,29%,99 min,2014
132,"Cameron Diaz, Leslie Mann, Nikolaj Coster-Waldau, Don Johnson",Nick Cassavetes,6.0/10,39/100,The Other Woman,PG-13,25%,109 min,2014
133,"Tom McGrath, Chris Miller, Christopher Knights, Conrad Vernon","Eric Darnell, Simon J. Smith",6.7/10,53/100,Penguins of Madagascar,PG,73%,92 min,2014
134,"Jake Johnson, Damon Wayans Jr., Rob Riggle, Nina Dobrev",Luke Greenfield,6.5/10,30/100,Let's Be Cops,R,18%,104 min,2014
135,"George Clooney, Matt Damon, Bill Murray, Cate Blanchett",George Clooney,6.1/10,52/100,The Monuments Men,PG-13,30%,118 min,2014
136,"Tate Donovan, Josh Keaton, Roger Bart, Danny DeVito","Ron Clements, John Musker",7.3/10,74/100,Hercules,G,83%,93 min,1997
137,"Frank Grillo, Carmen Ejogo, Zach Gilford, Kiele Sanchez",James DeMonaco,6.5/10,50/100,The Purge: Anarchy,R,56%,103 min,2014
138,"Steve Carell, Jennifer Garner, Ed Oxenbould, Dylan Minnette",Miguel Arteta,6.2/10,54/100,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",PG,60%,81 min,2014
139,"Adam Brody, Michael Ealy, Jerry Ferrara, Meagan Good",Tim Story,5.8/10,38/100,Think Like a Man Too,PG-13,23%,106 min,2014
140,"Christian Bale, Joel Edgerton, John Turturro, Aaron Paul",Ridley Scott,6.0/10,52/100,Exodus: Gods and Kings,PG-13,28%,150 min,2014
141,"Will Arnett, Brendan Fraser, Liam Neeson, Katherine Heigl",Peter Lepeniotis,5.8/10,37/100,The Nut Job,PG,11%,85 min,2014
142,"Kevin Sorbo, Shane Harper, David A.R. White, Dean Cain",Harold Cronk,4.8/10,16/100,God's Not Dead,PG,15%,113 min,2014
143,"Diogo Morgado, Greg Hicks, Adrian Schiller, Darwin Shaw",Christopher Spencer,5.7/10,37/100,Son of God,PG-13,21%,138 min,2014
144,"Ralph Fiennes, F. Murray Abraham, Mathieu Amalric, Adrien Brody",Wes Anderson,8.1/10,88/100,The Grand Budapest Hotel,R,91%,99 min,2014
145,"Dane Cook, Ed Harris, Julie Bowen, Curtis Armstrong",Roberts Gannaway,6.0/10,48/100,Planes: Fire & Rescue,PG,44%,83 min,2014
146,"Peter Weller, Nancy Allen, Dan O'Herlihy, Ronny Cox",Paul Verhoeven,7.5/10,67/100,RoboCop,R,88%,102 min,1987
147,"Luke Evans, Sarah Gadon, Dominic Cooper, Art Parkinson",Gary Shore,6.3/10,40/100,Dracula Untold,PG-13,24%,92 min,2014
148,"Jason Bateman, Jason Sudeikis, Charlie Day, Jennifer Aniston",Sean Anders,6.3/10,40/100,Horrible Bosses 2,R,34%,108 min,2014
149,"Helen Mirren, Om Puri, Manish Dayal, Charlotte Le Bon",Lasse Hallström,7.3/10,55/100,The Hundred-Foot Journey,PG,69%,122 min,2014
150,"Idris Elba, Taraji P. Henson, Leslie Bibb, Kate del Castillo",Sam Miller,5.6/10,26/100,No Good Deed,PG-13,9%,84 min,2014
151,"David Oyelowo, Carmen Ejogo, Jim France, Trinity Simone",Ava DuVernay,7.5/10,89/100,Selma,PG-13,98%,128 min,2014
152,"Ricky Gervais, Ty Burrell, Tina Fey, Steve Whitmire",James Bobin,6.4/10,61/100,Muppets Most Wanted,PG,80%,107 min,2014
153,"Olivia Cooke, Ana Coto, Daren Kagasoff, Bianca A. Santos",Stiles White,4.5/10,38/100,Ouija,PG-13,6%,89 min,2014
