,STATION,lat,lng
216,FRANKLIN ST,40.7192769,-74.0070636
217,FREEMAN ST,40.830152,-73.8916773
218,FRESH POND RD,40.7062829,-73.8957514
219,FT HAMILTON PKY,40.6497679,-73.97576750000002
220,FULTON ST,40.709373,-74.0083258
221,GATES AV,40.68963,-73.92227
222,GRAHAM AV,40.7145263,-73.94438180000002
223,GRAND ARMY PLAZ,40.675235,-73.971046
224,GRAND ST,40.7527262,-73.9772294
225,GRAND-NEWTOWN,40.7373619,-73.8772044
226,GRANT AV,40.6768813,-73.865353
227,GRD CNTRL-42 ST,40.7527262,-73.9772294
228,GREENPOINT AV,40.7301449,-73.9540561
229,GROVE STREET,40.7196062,-74.04263569999999
230,GUN HILL RD,40.8775414,-73.86639459999999
231,HALSEY ST,40.69577750000001,-73.9044092
232,HARLEM 148 ST,40.8240504,-73.9369385
233,HARRISON,40.9697488,-73.7119618
234,HEWES ST,40.7068162,-73.9534031
235,HIGH ST,40.6994297,-73.9914094
236,HOUSTON ST,40.728251,-74.00536699999999
237,HOWARD BCH JFK,40.660476,-73.83030099999999
238,HOYT ST,40.690545,-73.98506499999999
239,HOYT-SCHER,40.6888288,-73.98531249999999
240,HUNTERS PT AV,40.7424176,-73.9481564
241,HUNTS POINT AV,40.8207062,-73.89065219999999
242,INTERVALE AV,40.8222491,-73.89673669999999
243,INWOOD-207 ST,40.8678989,-73.9212342
244,JACKSON AV,40.8162282,-73.90801350000001
245,JAMAICA 179 ST,40.712646,-73.783817
246,JAMAICA CENTER,40.7021447,-73.8008771
247,JAMAICA VAN WK,40.7027167,-73.8172101
248,JAY ST-METROTEC,40.6923458,-73.987257
249,JEFFERSON ST,40.7063088,-73.9220881
250,JFK JAMAICA CT1,40.6996768,-73.8111353
251,JKSN HT-ROOSVLT,40.7466891,-73.8908579
252,JOURNAL SQUARE,40.7326829,-74.0626888
253,JUNCTION BLVD,40.749203,-73.8693365
254,JUNIUS ST,40.663515,-73.90244700000001
255,KEW GARDENS,40.7307692,-73.7752759
256,KINGS HWY,40.6086747,-73.9578152
257,KINGSBRIDGE RD,40.8662419,-73.8939541
258,KINGSTON AV,40.6692917,-73.942435
259,KINGSTON-THROOP,40.6797533,-73.9411255
260,KOSCIUSZKO ST,40.693342,-73.928814
261,LACKAWANNA,42.1587003,-77.067189
262,LAFAYETTE AV,40.6859569,-73.97365429999999
263,LEXINGTON AV/53,40.757552,-73.969055
264,LEXINGTON AV/63,40.764629,-73.96611299999999
265,LIBERTY AV,40.674542,-73.896548
266,LIVONIA AV,40.664038,-73.900571
267,LONGWOOD AV,40.816104,-73.896435
268,LORIMER ST,40.7139225,-73.9493905
269,MARBLE HILL-225,40.874561,-73.909831
270,MARCY AV,40.7085554,-73.95791179999999
271,METROPOLITAN AV,40.7121327,-73.889276
272,METS-WILLETS PT,40.75239,-73.8437
273,MIDDLETOWN RD,40.8438752,-73.836338
274,MONTROSE AV,40.707739,-73.93984999999999
275,MORGAN AV,40.70607589999999,-73.93370999999999
276,MORISN AV/SNDVW,40.829359,-73.87448499999999
277,MORRIS PARK,40.854364,-73.860495
278,MOSHOLU PKWY,40.87975,-73.884655
279,MT EDEN AV,40.844434,-73.91468499999999
280,MYRTLE AV,40.69682299999999,-73.93539
281,MYRTLE-WILLOUGH,40.6954927,-73.9489844
282,MYRTLE-WYCKOFF,40.6996523,-73.9116717
283,NASSAU AV,40.7238944,-73.9506777
284,NECK RD,40.595246,-73.95516099999999
285,NEPTUNE AV,40.581011,-73.97457399999999
286,NEREID AV,40.750568,-73.993519
287,NEVINS ST,40.6882442,-73.9806206
288,NEW LOTS AV,40.6663015,-73.88371579999999
289,NEW LOTS,40.6650348,-73.92286229999999
290,NEW UTRECHT AV,40.625595,-73.99683399999999
291,NEWARK C,40.6960235,-74.1774835
292,NEWKIRK AV,40.639967,-73.948411
