Zip,Median,Median_adjusted,Mean
11365,"61,097","68,429","73,177"
11366,"76,377","85,543","93,826"
11367,"53,565","59,992","67,846"
11368,"43,963","49,238","54,259"
11369,"54,732","61,300","65,143"
11370,"37,574","42,083","49,034"
11372,"48,149","53,927","58,610"
11373,"44,301","49,617","56,733"
11374,"49,708","55,673","65,130"
11375,"69,446","77,780","89,704"
11377,"49,979","55,976","60,263"
11378,"59,363","66,486","68,915"
11379,"61,824","69,243","76,167"
11385,"47,470","53,166","57,795"
11411,"69,132","77,427","79,342"
11412,"67,396","75,483","77,264"
11413,"77,058","86,305","84,085"
11414,"70,965","79,481","84,306"
11415,"55,983","62,701","70,069"
11416,"46,713","52,318","58,914"
11417,"56,103","62,835","66,183"
11418,"57,063","63,911","66,712"
11419,"49,705","55,670","59,642"
11420,"55,056","61,662","66,551"
11421,"55,094","61,705","66,525"
11422,"68,823","77,082","76,689"
11423,"64,756","72,527","79,561"
11424,"61,900","69,328","74,277"
11425,"70,284","78,718","73,553"
11426,"74,452","83,386","87,041"
11427,"57,224","64,091","67,494"
11428,"71,127","79,662","85,684"
11429,"72,714","81,440","82,273"
11430,"50,483","56,541","54,620"
11432,"50,291","56,326","64,694"
11433,"41,780","46,794","54,771"
11434,"51,641","57,837","59,039"
11435,"44,722","50,088","52,870"
11436,"62,297","69,773","69,595"
11501,"78,423","87,833","90,983"
11507,"103,384","115,790","138,519"
11509,"106,773","119,586","149,930"
11510,"99,077","110,967","110,670"
11514,"84,511","94,652","93,244"
11516,"93,264","104,456","121,947"
11518,"89,715","100,481","104,191"
11520,"68,768","77,020","86,328"
11530,"127,418","142,709","187,098"
11542,"77,618","86,933","102,384"
11545,"152,909","171,258","228,119"
11547,"114,409","128,138","141,452"
11548,"213,520","239,143","316,062"
11550,"57,385","64,271","69,315"
11552,"93,065","104,233","110,131"
11553,"71,093","79,624","81,499"
11554,"87,598","98,110","98,759"
11556,"73,445","82,258","83,012"
11557,"113,487","127,106","154,469"
11558,"85,183","95,405","100,774"
11559,"112,233","125,701","152,353"
11560,"102,206","114,471","180,640"
11561,"85,039","95,244","104,804"
11563,"87,861","98,404","99,384"
11565,"115,184","129,006","126,076"
11566,"120,360","134,803","136,669"
11568,"195,604","219,076","350,580"
11569,"112,545","126,050","160,280"
11570,"112,071","125,520","144,506"
11572,"97,596","109,307","111,623"
11575,"67,576","75,685","79,363"
11576,"156,674","175,475","235,579"
11577,"131,919","147,750","163,809"
11579,"99,101","110,993","127,227"
11580,"85,372","95,616","97,786"
11581,"93,231","104,419","104,291"
11590,"87,977","98,534","101,422"
11596,"108,682","121,724","133,563"
11598,"131,335","147,095","180,670"
11691,"35,645","39,923","51,204"
11692,"42,385","47,472","53,664"
11693,"54,874","61,459","65,333"
11694,"75,157","84,176","89,575"
11697,"82,291","92,165","101,500"
11701,"65,927","73,838","81,012"
11702,"95,477","106,934","116,529"
11703,"82,421","92,312","90,997"
11704,"79,200","88,705","87,882"
11705,"92,356","103,439","101,901"
11706,"74,856","83,839","88,722"
11709,"84,100","94,192","116,289"
11710,"107,781","120,714","121,846"
11713,"77,829","87,168","93,247"
11714,"87,906","98,455","107,529"
11715,"89,808","100,585","98,329"
11716,"95,944","107,457","106,568"
11717,"70,191","78,614","79,046"
11718,"124,722","139,689","140,354"
11719,"82,188","92,050","92,651"
11720,"91,189","102,131","101,569"
11721,"102,308","114,585","128,461"
11722,"69,657","78,016","77,957"
11724,"139,283","155,997","199,746"
11725,"107,564","120,471","124,879"
11726,"70,310","78,747","80,680"
11727,"79,880","89,465","93,184"
11729,"79,371","88,896","87,395"
11730,"91,842","102,863","126,756"
11731,"100,244","112,273","115,414"
11732,"118,206","132,391","147,944"
11733,"125,383","140,429","153,052"
11735,"88,757","99,408","103,543"
11738,"82,335","92,215","93,652"
11739,"173,438","194,251","183,585"
11740,"92,304","103,380","115,901"
11741,"95,241","106,670","102,911"
11742,"84,777","94,951","97,119"
11743,"119,062","133,350","162,374"
11746,"105,002","117,603","128,444"
11747,"108,881","121,947","146,664"
11749,"91,497","102,477","91,445"
11751,"90,015","100,817","99,027"
11752,"87,162","97,622","97,839"
11753,"142,621","159,736","185,686"
11754,"92,735","103,863","106,378"
11755,"90,612","101,485","106,684"
11756,"91,413","102,383","103,559"
11757,"83,838","93,899","94,304"
11758,"106,935","119,767","119,731"
11762,"105,852","118,554","123,073"
11763,"86,519","96,902","91,628"
11764,"111,468","124,845","126,438"
11765,"131,250","147,000","285,080"
11766,"112,406","125,895","130,622"
11767,"107,043","119,888","116,834"
11768,"114,683","128,445","156,116"
11769,"85,271","95,504","101,549"
11770,"62,031","69,475","128,906"
11771,"121,984","136,622","182,848"
11772,"66,823","74,842","75,767"
11776,"82,521","92,423","97,878"
11777,"101,591","113,782","130,958"
11778,"78,940","88,412","86,453"
11779,"85,987","96,306","95,608"
11780,"104,936","117,529","130,940"
11782,"97,018","108,660","109,007"
11783,"102,422","114,713","117,033"
11784,"73,740","82,589","82,513"
11786,"112,174","125,635","122,638"
11787,"110,137","123,354","130,813"
11788,"97,671","109,391","113,160"
11789,"80,797","90,492","95,045"
11790,"108,212","121,197","121,840"
11791,"136,223","152,570","181,354"
11792,"104,158","116,657","111,925"
11793,"105,568","118,236","121,682"
11794,"60,167","67,387","51,568"
11795,"99,994","111,994","118,972"
