Zip,Median,Median_adjusted,Mean,Pop
12084,"84,844","95,025","95,624","3,956"
12085,"63,219","70,805","79,047",219
12086,"58,262","65,253","69,852","1,870"
12087,"57,747","64,676","69,936","1,025"
12089,"56,188","62,931","61,939",77
12090,"49,059","54,946","60,099","6,075"
12092,"46,012","51,534","61,222","1,265"
12093,"47,590","53,301","54,964","1,499"
12094,"56,949","63,783","71,154","2,155"
12095,"46,267","51,819","58,284","12,776"
12106,"60,180","67,401","74,511","2,263"
12108,"44,048","49,334","69,704",480
12110,"74,237","83,145","90,547","20,543"
12115,"75,954","85,068","113,441",221
12116,"44,214","49,520","53,818","1,822"
12117,"45,955","51,470","54,147","3,310"
12118,"58,015","64,977","68,627","11,643"
12120,"61,628","69,024","66,981",616
12121,"65,702","73,586","74,543","1,903"
12122,"55,065","61,673","64,134","4,396"
12123,"58,221","65,207","71,482","5,168"
12124,"56,094","62,825","69,468",627
12125,"59,688","66,851","74,234","1,391"
12130,"75,433","84,485","87,645",976
12131,"47,545","53,250","55,838",117
12132,"75,954","85,068","113,441",388
12134,"47,134","52,790","55,275","3,709"
12136,"75,934","85,047","113,266",841
12137,"69,406","77,735","77,047","1,750"
12138,"56,466","63,241","63,572","3,180"
12139,"44,048","49,334","69,704",274
12140,"78,045","87,410","78,198","1,654"
12143,"57,698","64,621","66,552","5,252"
12144,"59,477","66,614","70,710","18,277"
12147,"62,738","70,266","68,071",549
12148,"99,306","111,223","107,515","3,175"
12149,"44,630","49,985","52,724","2,248"
12150,"56,042","62,767","70,548",759
12151,"70,493","78,952","84,491",707
12153,"67,481","75,579","76,898",763
12154,"70,630","79,106","76,250","2,710"
12155,"41,541","46,526","49,133","1,748"
12156,"78,979","88,456","87,687",827
12157,"56,295","63,050","69,473","4,041"
12158,"79,794","89,369","89,751","6,043"
12159,"83,622","93,657","100,973","7,267"
12160,"24,429","27,361","31,410",391
12161,"90,136","100,952","104,261",132
12164,"44,048","49,334","69,704",393
12165,"66,413","74,383","96,306",156
12166,"54,270","60,782","64,962","1,421"
12167,"30,899","34,607","34,596","1,481"
12168,"63,718","71,364","71,874","2,002"
12169,"63,107","70,680","72,567",312
12170,"66,139","74,075","76,026","5,183"
12172,"51,250","57,400","61,285",412
