,Datetime,Zone,actual,pred
154,2015-06-23 01:00:00,Maspeth,2.0,1.4254248999999999
155,2015-06-23 01:00:00,Middle Village,0.0,0.9407136999999999
156,2015-06-23 01:00:00,Midtown,273.0,121.89757800000001
157,2015-06-23 01:00:00,Midwood,1.0,0.9255314
158,2015-06-23 01:00:00,Morningside Heights,5.0,3.9364336000000004
159,2015-06-23 01:00:00,Murray Hill,20.0,13.876370999999999
160,2015-06-23 01:00:00,Navy Yard,2.0,1.377767
161,2015-06-23 01:00:00,North Riverdale,0.0,0.7288313
162,2015-06-23 01:00:00,Park Slope,15.0,9.252771000000001
163,2015-06-23 01:00:00,Port Morris,1.0,1.2994782
164,2015-06-23 01:00:00,Prospect Heights,3.0,4.0725964999999995
165,2015-06-23 01:00:00,Prospect-Lefferts Gardens,5.0,4.3361936
166,2015-06-23 01:00:00,Red Hook,2.0,1.8022077
167,2015-06-23 01:00:00,Rego Park,4.0,1.0327716999999998
168,2015-06-23 01:00:00,Richmond Hill,0.0,0.8373072
169,2015-06-23 01:00:00,Ridgewood,7.0,2.9903963
170,2015-06-23 01:00:00,Sheepshead Bay,2.0,0.76971006
171,2015-06-23 01:00:00,SoHo,28.0,16.983366500000002
172,2015-06-23 01:00:00,South Ozone Park,1.0,1.1385192
173,2015-06-23 01:00:00,Spuyten Duyvil,0.0,0.7566588000000001
174,2015-06-23 01:00:00,Stuyvesant Town,2.0,2.5116357999999996
175,2015-06-23 01:00:00,Sunnyside,9.0,3.5024254
176,2015-06-23 01:00:00,Sunset Park,12.0,3.7817198000000003
177,2015-06-23 01:00:00,Theater District,74.0,32.846764
178,2015-06-23 01:00:00,Two Bridges,8.0,4.9675694
179,2015-06-23 01:00:00,Upper East Side,50.0,32.7251555
180,2015-06-23 01:00:00,Upper West Side,53.0,29.973980000000005
181,2015-06-23 01:00:00,Vinegar Hill,0.0,3.5669096
182,2015-06-23 01:00:00,Washington Heights,15.0,7.7262929
183,2015-06-23 01:00:00,West Village,70.0,27.997746
184,2015-06-23 01:00:00,Williamsburg,94.0,51.609837
185,2015-06-23 01:00:00,Windsor Terrace,2.0,1.1360861999999998
186,2015-06-23 01:00:00,Woodhaven,5.0,0.91784656
187,2015-06-23 01:00:00,Woodside,1.0,2.2427316000000004
188,2015-06-23 02:00:00,Astoria,4.0,5.61621334
189,2015-06-23 02:00:00,Battery Park City,6.0,5.0594788
190,2015-06-23 02:00:00,Bay Ridge,1.0,1.2369273
191,2015-06-23 02:00:00,Bayside,1.0,0.58286417
192,2015-06-23 02:00:00,Bedford-Stuyvesant,24.0,9.530597499999999
193,2015-06-23 02:00:00,Belmont,0.0,0.38958767
194,2015-06-23 02:00:00,Bensonhurst,0.0,0.3489204
195,2015-06-23 02:00:00,Boerum Hill,3.0,2.3811072999999996
196,2015-06-23 02:00:00,Borough Park,2.0,0.72389066
197,2015-06-23 02:00:00,Brooklyn Heights,4.0,2.1014892999999994
198,2015-06-23 02:00:00,Brownsville,2.0,0.5651338
199,2015-06-23 02:00:00,Bushwick,20.0,15.246196999999999
200,2015-06-23 02:00:00,Canarsie,2.0,1.3511277
201,2015-06-23 02:00:00,Carroll Gardens,2.0,1.2607574
202,2015-06-23 02:00:00,Central Park,3.0,0.55341315
203,2015-06-23 02:00:00,Chelsea,35.0,22.092421
204,2015-06-23 02:00:00,Chinatown,1.0,3.2213457
205,2015-06-23 02:00:00,Civic Center,23.0,9.04815
206,2015-06-23 02:00:00,Clinton Hill,28.0,18.7770696
207,2015-06-23 02:00:00,Cobble Hill,0.0,0.7684951
208,2015-06-23 02:00:00,Columbia St,1.0,0.23959287
209,2015-06-23 02:00:00,Concourse,3.0,0.8328446
210,2015-06-23 02:00:00,Corona,0.0,0.6530887
211,2015-06-23 02:00:00,Crown Heights,20.0,5.804929899999999
212,2015-06-23 02:00:00,Ditmars Steinway,3.0,1.9046893
213,2015-06-23 02:00:00,Downtown Brooklyn,2.0,2.1795207999999997
214,2015-06-23 02:00:00,Dyker Heights,1.0,0.27349395
215,2015-06-23 02:00:00,East Elmhurst,0.0,0.703287
216,2015-06-23 02:00:00,East Flatbush,4.0,2.59815942
217,2015-06-23 02:00:00,East Harlem,2.0,4.176523899999999
218,2015-06-23 02:00:00,East New York,2.0,1.0793921
219,2015-06-23 02:00:00,East Village,40.0,21.062021
220,2015-06-23 02:00:00,Elmhurst,7.0,3.0413311999999997
221,2015-06-23 02:00:00,Financial District,32.0,11.0328026
222,2015-06-23 02:00:00,Flatbush,3.0,2.3520392999999995
223,2015-06-23 02:00:00,Flatiron District,16.0,8.447457
224,2015-06-23 02:00:00,Flatlands,1.0,1.3432287
225,2015-06-23 02:00:00,Flushing,1.0,2.05425
226,2015-06-23 02:00:00,Forest Hills,6.0,1.7772720000000002
227,2015-06-23 02:00:00,Fort Greene,5.0,3.476205
228,2015-06-23 02:00:00,Glendale,0.0,0.4592669
229,2015-06-23 02:00:00,Gowanus,1.0,1.0624708
230,2015-06-23 02:00:00,Gramercy,34.0,14.1113845
231,2015-06-23 02:00:00,Greenpoint,9.0,6.478992
232,2015-06-23 02:00:00,Greenwich Village,28.0,9.936957
233,2015-06-23 02:00:00,Harlem,15.0,8.305199400000001
234,2015-06-23 02:00:00,Inwood,2.0,1.0058465
235,2015-06-23 02:00:00,Jackson Heights,3.0,1.5497926000000002
236,2015-06-23 02:00:00,Jamaica,2.0,1.379425
237,2015-06-23 02:00:00,Jamaica Hills,7.0,1.150822
238,2015-06-23 02:00:00,John F. Kennedy International Airport,14.0,40.145267
239,2015-06-23 02:00:00,Kensington,2.0,0.5174097
240,2015-06-23 02:00:00,Kew Gardens,1.0,0.48425138
241,2015-06-23 02:00:00,Kew Gardens Hills,0.0,1.2646079
242,2015-06-23 02:00:00,Kips Bay,0.0,3.7356176
243,2015-06-23 02:00:00,LaGuardia Airport,1.0,9.989284
244,2015-06-23 02:00:00,Little Italy,6.0,7.196706
245,2015-06-23 02:00:00,Long Island City,8.0,3.7565944
246,2015-06-23 02:00:00,Lower East Side,19.0,12.859523
247,2015-06-23 02:00:00,Marine Park,1.0,0.36168259999999997
248,2015-06-23 02:00:00,Maspeth,1.0,0.9819623
249,2015-06-23 02:00:00,Middle Village,0.0,0.5511419
