,Datetime,Zone,actual,pred,rmse
99,2015-06-23 01:00:00,Belmont,1.0,0.7213976,1.6957978757025234
100,2015-06-23 01:00:00,Bensonhurst,1.0,0.7474581,2.1266530099798406
101,2015-06-23 01:00:00,Boerum Hill,5.0,4.381545,7.164137913226434
102,2015-06-23 01:00:00,Borough Park,6.0,1.4270043,3.22180614066215
103,2015-06-23 01:00:00,Brooklyn Heights,6.0,3.9462693,5.923462041269338
104,2015-06-23 01:00:00,Brownsville,0.0,0.9649134,2.0496675424813207
105,2015-06-23 01:00:00,Bushwick,76.0,52.029964,18.0121190791668
106,2015-06-23 01:00:00,Canarsie,3.0,2.2041395,2.6771070176887664
107,2015-06-23 01:00:00,Carroll Gardens,3.0,2.3765464,4.995122133980957
108,2015-06-23 01:00:00,Central Park,4.0,1.5511143,7.3890272547657565
109,2015-06-23 01:00:00,Chelsea,92.0,67.71405,60.83031713351858
110,2015-06-23 01:00:00,Chinatown,6.0,4.157207,6.259611586487543
111,2015-06-23 01:00:00,Civic Center,38.0,17.929333,31.846871890582158
112,2015-06-23 01:00:00,Clinton Hill,177.0,90.364878,58.478640128027
113,2015-06-23 01:00:00,Cobble Hill,1.0,1.3137871,3.4757702140575244
114,2015-06-23 01:00:00,Columbia St,0.0,0.61853176,2.3120801622100644
115,2015-06-23 01:00:00,Concourse,0.0,1.967026,8.18372943842629
116,2015-06-23 01:00:00,Corona,1.0,1.1135464,1.831514757502101
117,2015-06-23 01:00:00,Crown Heights,36.0,22.3299358,14.083653092563917
118,2015-06-23 01:00:00,Ditmars Steinway,7.0,3.0139256000000003,4.8224847458195415
119,2015-06-23 01:00:00,Downtown Brooklyn,3.0,3.6734983999999997,5.277874501048974
120,2015-06-23 01:00:00,Dyker Heights,0.0,0.4813755,1.7854236203287617
121,2015-06-23 01:00:00,East Elmhurst,3.0,1.2324711000000002,2.325145370405893
122,2015-06-23 01:00:00,East Flatbush,21.0,15.570284100000002,9.091582803254672
123,2015-06-23 01:00:00,East Harlem,6.0,15.869145800000002,13.09308947464283
124,2015-06-23 01:00:00,East New York,2.0,2.342388,2.422936980320916
125,2015-06-23 01:00:00,East Village,134.0,64.8590882,50.69184551648319
126,2015-06-23 01:00:00,Elmhurst,22.0,9.777384000000001,4.744552118350919
127,2015-06-23 01:00:00,Financial District,156.0,89.1096676,30.783155392398704
128,2015-06-23 01:00:00,Flatbush,8.0,4.110155000000001,6.379575325669541
129,2015-06-23 01:00:00,Flatiron District,18.0,12.654728,22.01531944664514
130,2015-06-23 01:00:00,Flatlands,5.0,1.8337002,2.548479554164889
131,2015-06-23 01:00:00,Flushing,6.0,7.0503964,4.774484441537053
132,2015-06-23 01:00:00,Forest Hills,7.0,3.1261647,3.8842943425192575
